Time,Speed,Acceleration,X,Y
1.0,10.459231825487942,2.2784263158002975,498.4,984.4407681745121
2.0,10.044628814154558,-0.4146030113333836,498.4,974.3961393603576
3.0,10.698624220502817,0.6539954063482583,498.4,963.6975151398547
4.0,10.976571919688277,0.2779476991854608,498.4,952.7209432201664
5.0,10.108327214432203,-0.8682447052560747,498.4,942.6126160057343
6.0,10.545272574935362,0.43694536050315946,498.4,932.0673434307988
7.0,9.93196465569853,-0.6133079192368314,498.4,922.1353787751003
8.0,9.595349208277904,-0.3366154474206269,495.2,912.5400295668223
9.0,10.189427082369358,0.5940778740914539,495.2,902.350602484453
10.0,10.706805932743729,0.5173788503743708,495.2,891.6437965517093
11.0,9.53619454515937,-1.1706113875843585,495.2,882.1076020065499
12.0,9.611674249231138,0.07547970407176763,495.2,872.4959277573188
13.0,10.878570667294108,1.26689641806297,495.2,861.6173570900247
14.0,10.938240270189263,0.05966960289515555,495.2,850.6791168198354
15.0,10.42468127835381,-0.5135589918354526,495.2,840.2544355414816
16.0,9.850473167084411,-0.5742081112693995,495.2,830.4039623743972
17.0,9.661791406397962,-0.1886817606864497,495.2,820.7421709679993
18.0,10.5387988141163,0.8770074077183381,495.2,810.203372153883
19.0,10.844479397813112,0.3056805836968124,495.2,799.3588927560698
20.0,9.846240803658285,-0.9982385941548273,495.2,789.5126519524116
21.0,10.244022291561842,0.3977814879035577,495.2,779.2686296608498
22.0,10.39818215550694,0.15415986394509673,495.2,768.8704475053428
23.0,10.661120927951552,0.2629387724446133,495.2,758.2093265773913
24.0,8.661120927951552,-2.0,495.2,749.5482056494398
25.0,6.661120927951552,-2.0,495.2,742.8870847214882
26.0,4.661120927951552,-2.0,495.2,738.2259637935366
27.0,6.6017448420759965,1.9406239141244441,495.2,731.6242189514605
28.0,9.42280904535509,2.821064203279093,495.2,722.2014099061055
29.0,9.945927359222688,0.5231183138675988,498.4,712.2554825468828
30.0,11.006354206067764,1.0604268468450755,498.4,701.249128340815
31.0,9.006354206067764,-2.0,498.4,692.2427741347472
32.0,7.006354206067764,-2.0,498.4,685.2364199286794
33.0,9.536193196837113,2.529838990769349,498.4,675.7002267318423
34.0,10.634470551217229,1.0982773543801159,498.4,665.065756180625
35.0,10.229130307387814,-0.40534024382941425,498.4,654.8366258732372
36.0,10.12228895368825,-0.10684135369956493,498.4,644.7143369195489
37.0,10.958093451162123,0.8358044974738732,498.4,633.7562434683869
38.0,10.862052798562937,-0.0960406525991857,498.4,622.8941906698238
39.0,10.271345009038479,-0.5907077895244583,498.4,612.6228456607853
40.0,10.050798325509087,-0.22054668352939188,498.4,602.5720473352762
41.0,10.209267881874249,0.15846955636516213,498.4,592.362779453402
42.0,9.915195022535764,-0.2940728593384847,498.4,582.4475844308662
43.0,10.993905527808957,1.0787105052731931,498.4,571.4536789030572
44.0,10.361318580981598,-0.6325869468273595,498.4,561.0923603220756
45.0,9.790246339108117,-0.5710722418734804,498.4,551.3021139829675
46.0,9.618654812395826,-0.17159152671229094,498.4,541.6834591705716
47.0,10.938982782129452,1.3203279697336257,498.4,530.7444763884421
48.0,9.7546225214035,-1.1843602607259527,498.4,520.9898538670386
49.0,9.940374026017517,0.1857515046140179,499.0270945862611,511.1282403169269
50.0,8.28395031222717,-1.656423713790348,502.855312242026,503.9380856317776
51.0,8.463413987938473,0.17946367571130395,509.79900002275537,499.36432777200463
52.0,8.675181525807055,0.2117675378685817,518.3530659849516,498.4
53.0,10.739693060681383,2.0645115348743275,529.0927590456331,498.4
54.0,13.170100628795261,2.4304075681138784,542.2628596744283,498.4
55.0,14.815097462549964,1.6449968337547034,557.0779571369783,498.4
56.0,17.46893588306957,2.6538384205196053,574.5468930200478,498.4
57.0,18.667006637202576,1.1980707541330062,593.2138996572504,498.4
58.0,19.321683646994643,0.6546770097920671,612.535583304245,498.4
59.0,19.870270967367105,0.5485873203724623,632.4058542716122,498.4
